Census \ Age,0-4,5-9,10-14,15-19,total
9330192.00,205,230,260,265,3908
9330186.01,425,425,455,435,6518
186.02,310,340,380,345,5312
186.05,435,500,445,435,6352
186.06,340,310,270,240,3947
185.09,290,295,260,220,4151
185.11,650,610,540,450,7307
185.1,510,500,425,370,5679
185.21,313,310,263,243,3792
185.22,312,310,262,242,3792
185.17,135,153,168,185,2565
185.18,270,307,337,370,5129
185.19,380,315,318,273,4235
185.2,380,315,318,273,4235
185.08,55,65,85,115,1326
185.07,435,505,480,485,6197
185.12,470,485,480,455,6289
185.16,385,415,395,320,4935
185.15,470,430,365,300,5707
186.07,410,415,375,335,5137
186.08,345,420,430,370,5281
191.03,340,345,335,375,4904
191.04,260,240,245,240,4577
191.05,213,200,235,235,3923
191.06,106,100,118,118,1962
191.07,106,100,118,118,1961
190.03,265,310,350,345,4638
190.04,290,405,415,435,5928
190.05,110,120,130,120,1618
190.01,335,305,330,330,5886
189.06,180,180,190,220,2776
187.04,105,130,125,95,1792
187.05,570,510,520,420,6732
184.02,420,420,440,440,6967
184.15,147,163,207,230,2628
184.16,293,327,413,460,5255
184.07,300,350,355,320,5044
184.08,255,310,355,305,3807
184.06,330,290,290,225,3682
184.12,173,79,113,111,2023
184.13,345,238,225,223,4036
184.14,173,158,113,111,2023
182.03,125,190,305,390,3597
184.11,540,585,565,475,7217
184.1,355,320,390,385,4678
184.09,280,335,330,385,4425
187.03,455,450,505,495,6715
189.05,310,325,320,390,7150
189.08,470,480,440,450,6271
189.03,190,235,275,205,3145
188.01,150,200,250,260,2709
188.02,140,185,225,205,2423
189.07,155,170,140,145,2376
189.1,295,365,455,440,5167
189.09,205,250,315,325,3992
188.08,105,185,262,273,2565
188.07,210,370,523,547,5129
188.04,180,200,305,295,3343
187.12,230,253,287,287,3815
187.06,230,252,288,288,3815
187.13,320,370,470,500,5866
187.11,230,225,245,200,3442
187.07,85,135,155,180,1784
187.15,143,182,207,217,2909
187.14,143,182,207,217,2909
187.16,143,182,207,217,2909
182.04,45,90,135,165,1496
182.05,275,290,310,335,4723
182.02,335,310,205,165,3059
183.01,405,460,545,490,5948
183.03,350,320,370,390,5755
183.05,680,565,550,445,7038
183.07,305,410,505,585,6555
183.06,125,155,150,125,2237
183.08,59,43,48,47,2066
183.09,296,212,237,233,2066
182.06,50,70,90,95,1212
188.06,60,60,90,80,1008
188.05,85,140,230,300,2380
182.01,125,190,230,245,3141
180.01,475,420,360,345,5881
180.04,127,170,230,255,3438
180.03,128,170,230,255,3438
181.13,123,148,171,181,2725
181.12,123,148,172,182,2725
181.14,124,149,172,182,2726
181.1,183,242,383,458,6391
181.11,37,48,77,92,1292
181.09,190,365,555,560,6298
181.03,220,315,445,485,5555
181.07,125,205,280,315,3555
181.08,105,130,156,185,2465
170.04,175,215,240,250,5253
170.03,45,40,70,75,3450
170.05,50,30,30,50,2365
170.08,155,170,197,187,3843
170.07,155,170,198,188,3844
181.05,320,315,365,390,7472
181.16,95,95,135,135,2450
181.15,95,95,135,135,2450
185.05,370,465,500,445,5420
