Census \ Age,0-4,5-9,10-14,15-19,total
9330192.00,221,257,256,291,4194
9330186.01,475,460,479,505,7494
186.02,370,379,399,409,6106
186.05,503,573,567,556,7592
186.06,333,315,301,264,4206
185.09,387,333,322,282,5127
185.11,646,644,574,489,7844
185.1,502,499,430,404,5894
185.21,280,289,279,250,3845
185.22,323,293,258,261,3771
185.17,175,175,197,235,3520
185.18,308,325,348,388,5295
185.19,494,418,425,399,5975
185.2,441,402,387,365,5166
185.08,62,75,92,126,1483
185.07,652,709,743,753,9630
185.12,454,501,531,480,6780
185.16,385,393,393,360,4968
185.15,484,421,368,330,5867
186.07,442,448,435,397,5886
186.08,466,503,512,495,6646
191.03,391,378,370,408,5619
191.04,373,332,344,352,6927
191.05,223,219,260,276,4036
191.06,143,108,123,138,2701
191.07,220,153,179,207,3929
190.03,420,420,469,513,6896
190.04,342,426,482,507,6984
190.05,122,125,131,138,1791
190.01,513,446,452,489,8998
189.06,196,209,218,246,3227
187.04,105,117,120,101,1707
187.05,614,543,530,485,7419
184.02,507,510,476,497,7951
184.15,171,182,239,293,3364
184.16,337,374,439,467,5860
184.07,328,347,369,342,5501
184.08,382,427,490,446,5537
184.06,938,876,794,677,10901
184.12,693,443,488,491,8362
184.13,403,331,315,331,5668
184.14,858,734,499,458,8940
182.03,171,191,285,397,3963
184.11,689,687,727,656,9574
184.1,330,355,411,453,5190
184.09,287,346,353,388,4736
187.03,520,520,525,562,7767
189.05,390,380,398,443,8245
189.08,534,508,480,491,7063
189.03,193,230,265,255,3389
188.01,154,212,251,291,3094
188.02,165,202,267,292,3034
189.07,200,234,210,217,3401
189.1,394,440,555,601,6749
189.09,208,247,344,369,4485
188.08,147,236,372,418,3840
188.07,188,267,400,485,4309
188.04,195,246,331,371,3998
187.12,230,271,312,319,4254
187.06,359,428,505,551,6970
187.13,224,236,284,320,3915
187.11,470,445,461,421,6577
187.07,95,128,171,190,2013
187.15,203,248,283,307,4078
187.14,215,226,251,229,3822
187.16,156,200,239,257,3082
182.04,55,100,152,181,1782
182.05,427,442,463,508,7395
182.02,725,687,509,398,6949
183.01,424,459,538,521,6341
183.03,352,349,368,418,6180
183.05,1051,944,857,727,11293
183.07,313,388,477,534,6691
183.06,142,148,150,134,2372
183.08,559,348,308,284,8253
183.09,1534,1018,1018,973,12265
182.06,46,68,88,95,1168
188.06,85,88,126,115,1484
188.05,107,161,236,311,2724
182.01,235,310,362,387,5196
180.01,579,568,485,464,7633
180.04,435,459,592,647,9554
180.03,406,427,550,601,8884
181.13,144,169,213,239,3664
181.12,111,151,192,202,2787
181.14,189,188,214,234,3749
181.1,148,210,299,395,5241
181.11,78,87,132,177,2574
181.09,187,329,516,555,6187
181.03,209,276,400,443,5221
181.07,136,196,262,295,3582
181.08,113,143,157,179,2530
170.04,167,206,244,275,5457
170.03,51,38,73,83,3921
170.05,52,38,41,55,2629
170.08,139,139,163,181,3823
170.07,191,186,212,209,4122
181.05,306,309,358,408,7758
181.16,100,110,235,155,2600
181.15,100,110,235,155,2600
185.05,402,449,522,518,5943
